  4819833	2022-07-06 09:26:22	222	4	1	0
  4956295	2022-07-06 17:04:08	222	4	1	0
  4302692	2022-07-06 17:04:45	222	4	1	0
  4272790	2022-07-06 17:07:49	222	4	1	0
  4823017	2022-07-06 17:09:55	222	4	1	0
  2689038	2022-07-06 17:11:38	222	4	1	0
  4819833	2022-07-06 17:12:07	222	4	1	0
  4366594	2022-07-06 17:12:26	222	4	1	0
  4808457	2022-07-06 17:13:30	222	4	1	0
  4258809	2022-07-06 17:37:00	222	4	1	0
  3417047	2022-07-06 17:37:30	222	4	1	0
  9158983	2022-07-06 17:38:40	222	4	1	0
  2240753	2022-07-06 17:38:45	222	4	1	0
  6034912	2022-07-06 17:38:54	222	4	1	0
  4974338	2022-07-06 17:46:29	222	4	1	0
  3476266	2022-07-06 17:54:51	222	4	1	0
  6049400	2022-07-06 17:55:28	222	4	1	0
  6049400	2022-07-06 17:55:30	222	4	1	0
  6156714	2022-07-06 18:14:50	222	4	1	0
  6833031	2022-07-06 18:22:21	222	4	1	0
  3432493	2022-07-06 18:33:49	222	4	1	0
  4797854	2022-07-06 18:37:22	222	4	1	0
  3474426	2022-07-06 19:53:23	222	4	1	0
  4974338	2022-07-07 07:37:40	222	4	1	0
  6049400	2022-07-07 07:49:19	222	4	1	0
  6049400	2022-07-07 07:49:21	222	4	1	0
  4797854	2022-07-07 07:49:38	222	4	1	0
  6156714	2022-07-07 08:03:42	222	4	1	0
  2240753	2022-07-07 08:05:51	222	4	1	0
  3063214	2022-07-07 08:09:00	222	4	1	0
  3474426	2022-07-07 08:10:43	222	4	1	0
  3417047	2022-07-07 08:15:31	222	4	1	0
  4956295	2022-07-07 08:19:17	222	4	1	0
  4823017	2022-07-07 08:23:41	222	4	1	0
  4808457	2022-07-07 08:29:44	222	4	1	0
  6833031	2022-07-07 08:32:03	222	4	1	0
  4258809	2022-07-07 08:33:02	222	4	1	0
  6034912	2022-07-07 08:34:06	222	4	1	0
  9884275	2022-07-07 08:34:11	222	4	1	0
  3432493	2022-07-07 08:35:16	222	4	1	0
  2689038	2022-07-07 08:36:11	222	4	1	0
  4302692	2022-07-07 08:36:20	222	4	1	0
  4302692	2022-07-07 08:36:22	222	4	1	0
  3476266	2022-07-07 08:36:43	222	4	1	0
  4366594	2022-07-07 08:38:19	222	4	1	0
  4819833	2022-07-07 09:27:55	222	4	1	0
  2240753	2022-07-07 17:07:18	222	4	1	0
  4302692	2022-07-07 17:07:43	222	4	1	0
  4302692	2022-07-07 17:07:47	222	4	1	0
  2689038	2022-07-07 17:11:46	222	4	1	0
  3432493	2022-07-07 17:12:57	222	4	1	0
  4823017	2022-07-07 17:13:51	222	4	1	0
  4808457	2022-07-07 17:14:44	222	4	1	0
  4258809	2022-07-07 17:15:24	222	4	1	0
  9884275	2022-07-07 17:21:30	222	4	1	0
  6833031	2022-07-07 17:25:43	222	4	1	0
  4366594	2022-07-07 17:37:55	222	4	1	0
